epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8151,1.85146,1.80019,1.63868,0.35426,0.48843,0.30537,0.11683,1.89941,2.63103,1.75463,0.000663283,0.000663283,0.000663283
2,58.1124,1.87417,1.53562,1.68785,0.7141,0.60668,0.67375,0.31351,1.83141,1.55884,1.69118,0.00131678,0.00131678,0.00131678
3,84.5292,1.88626,1.53808,1.68023,0.69731,0.6401,0.68481,0.32288,1.75405,1.48104,1.58699,0.00195708,0.00195708,0.00195708
4,111.532,1.83366,1.44948,1.67055,0.8297,0.72643,0.81694,0.41452,1.70481,1.24611,1.57453,0.0019406,0.0019406,0.0019406
5,139.245,1.78105,1.36732,1.60161,0.80887,0.77242,0.8546,0.43795,1.65706,1.09117,1.51968,0.0019208,0.0019208,0.0019208
6,165.901,1.75578,1.31116,1.5859,0.80519,0.78406,0.83797,0.42233,1.65555,1.14959,1.47622,0.001901,0.001901,0.001901
7,192.946,1.74722,1.28847,1.56732,0.80998,0.77802,0.83401,0.42756,1.65659,1.10436,1.51264,0.0018812,0.0018812,0.0018812
8,217.792,1.70532,1.24042,1.55808,0.82569,0.72494,0.83067,0.42263,1.65901,1.1858,1.53875,0.0018614,0.0018614,0.0018614
9,241.845,1.70047,1.23344,1.56408,0.84899,0.73522,0.82914,0.43292,1.6484,1.09896,1.51975,0.0018416,0.0018416,0.0018416
10,265.865,1.70522,1.19806,1.56935,0.78754,0.7892,0.8496,0.47282,1.54883,1.00673,1.48813,0.0018218,0.0018218,0.0018218
11,292.904,1.67349,1.17215,1.54682,0.8818,0.79949,0.87654,0.45629,1.65089,0.97061,1.53356,0.001802,0.001802,0.001802
12,319.691,1.6543,1.13214,1.53902,0.81992,0.81932,0.87468,0.45923,1.62133,0.97003,1.49055,0.0017822,0.0017822,0.0017822
13,345.4,1.65249,1.12967,1.53354,0.87265,0.82519,0.9016,0.48278,1.55782,0.97912,1.46445,0.0017624,0.0017624,0.0017624
14,370.412,1.64068,1.12354,1.54046,0.86932,0.82083,0.89287,0.48002,1.59405,0.87832,1.47801,0.0017426,0.0017426,0.0017426
15,394.398,1.65333,1.09216,1.52345,0.84904,0.82416,0.89038,0.47609,1.58947,0.89242,1.48085,0.0017228,0.0017228,0.0017228
16,418.512,1.62408,1.05618,1.51418,0.85893,0.86632,0.89324,0.47271,1.58051,0.90929,1.48798,0.001703,0.001703,0.001703
17,442.704,1.60909,1.07526,1.51517,0.83371,0.86354,0.89499,0.4761,1.57753,0.87923,1.48339,0.0016832,0.0016832,0.0016832
18,467.024,1.62873,1.07062,1.52157,0.84406,0.82097,0.87804,0.47463,1.58059,0.93482,1.50354,0.0016634,0.0016634,0.0016634
19,492.426,1.5919,1.0246,1.50004,0.85134,0.82441,0.88928,0.4639,1.60743,0.99016,1.49242,0.0016436,0.0016436,0.0016436
20,516.748,1.59193,1.04375,1.50296,0.87807,0.83805,0.90269,0.50024,1.54784,0.84838,1.44566,0.0016238,0.0016238,0.0016238
21,541.268,1.57078,1.02455,1.48249,0.8334,0.88175,0.89727,0.48402,1.56457,0.91169,1.46825,0.001604,0.001604,0.001604
22,565.642,1.58959,1.02461,1.50537,0.84911,0.88946,0.91386,0.50148,1.55787,0.8599,1.47355,0.0015842,0.0015842,0.0015842
23,590.043,1.58174,0.99628,1.49379,0.84502,0.89705,0.90383,0.48033,1.61178,0.81854,1.50415,0.0015644,0.0015644,0.0015644
24,614.384,1.57185,1.01429,1.49553,0.88946,0.84809,0.91502,0.51212,1.5229,0.80237,1.45177,0.0015446,0.0015446,0.0015446
25,641.218,1.55926,0.97868,1.47776,0.89722,0.87661,0.91412,0.50064,1.58796,0.794,1.48961,0.0015248,0.0015248,0.0015248
26,666.476,1.58086,0.96985,1.4904,0.88207,0.88689,0.9197,0.50462,1.57992,0.80856,1.48281,0.001505,0.001505,0.001505
27,691.093,1.55276,0.97056,1.48128,0.88252,0.84966,0.91166,0.49897,1.55847,0.82998,1.46776,0.0014852,0.0014852,0.0014852
28,715.841,1.55522,0.97176,1.47346,0.82856,0.88175,0.90752,0.5003,1.53723,0.84133,1.44392,0.0014654,0.0014654,0.0014654
29,739.996,1.55838,0.95916,1.47263,0.89179,0.87404,0.91752,0.51463,1.55296,0.77474,1.4858,0.0014456,0.0014456,0.0014456
30,763.844,1.54777,0.95189,1.47026,0.8769,0.87896,0.91526,0.50702,1.52694,0.82274,1.44669,0.0014258,0.0014258,0.0014258
31,787.766,1.52643,0.93151,1.45341,0.88154,0.85347,0.90754,0.51584,1.54645,0.80227,1.44876,0.001406,0.001406,0.001406
32,812.177,1.53096,0.91703,1.45799,0.89287,0.87846,0.93099,0.5053,1.5942,0.78137,1.48478,0.0013862,0.0013862,0.0013862
33,836.666,1.52311,0.93024,1.44872,0.86764,0.87661,0.9248,0.51026,1.54713,0.77871,1.45256,0.0013664,0.0013664,0.0013664
34,860.658,1.5111,0.90608,1.43507,0.90713,0.84833,0.92999,0.52353,1.52818,0.7466,1.46089,0.0013466,0.0013466,0.0013466
35,884.767,1.5269,0.93406,1.46012,0.89428,0.86632,0.92387,0.51083,1.53344,0.78981,1.44783,0.0013268,0.0013268,0.0013268
36,908.939,1.51284,0.90912,1.44601,0.85172,0.88596,0.92609,0.51154,1.58303,0.77752,1.5,0.001307,0.001307,0.001307
37,932.986,1.50761,0.91647,1.4416,0.87798,0.88788,0.91468,0.51403,1.55191,0.78531,1.45245,0.0012872,0.0012872,0.0012872
38,957.004,1.48838,0.90401,1.44399,0.88234,0.86746,0.9092,0.50945,1.59827,0.78267,1.50236,0.0012674,0.0012674,0.0012674
39,980.972,1.499,0.90716,1.43701,0.86289,0.88946,0.91357,0.50703,1.55728,0.76351,1.47854,0.0012476,0.0012476,0.0012476
40,1004.89,1.47473,0.89051,1.42915,0.84901,0.88174,0.92171,0.52175,1.5406,0.74387,1.45932,0.0012278,0.0012278,0.0012278
41,1028.79,1.49549,0.89631,1.42908,0.90009,0.83378,0.91004,0.49077,1.58621,0.7847,1.49071,0.001208,0.001208,0.001208
42,1052.74,1.48173,0.88144,1.42869,0.87318,0.88501,0.93412,0.52916,1.49878,0.75642,1.42502,0.0011882,0.0011882,0.0011882
43,1077.12,1.48206,0.86205,1.42577,0.8686,0.90488,0.93484,0.53233,1.5191,0.71025,1.45512,0.0011684,0.0011684,0.0011684
44,1101.55,1.45328,0.86871,1.41362,0.86846,0.90488,0.92175,0.52826,1.54416,0.70994,1.46795,0.0011486,0.0011486,0.0011486
45,1126.42,1.46581,0.85958,1.42124,0.87515,0.90488,0.93105,0.52678,1.56497,0.71795,1.4856,0.0011288,0.0011288,0.0011288
46,1152.43,1.4481,0.86532,1.40097,0.91508,0.8509,0.93122,0.53399,1.50291,0.72904,1.4242,0.001109,0.001109,0.001109
47,1176.53,1.44536,0.84227,1.40834,0.90516,0.88322,0.92321,0.53303,1.51233,0.72388,1.4289,0.0010892,0.0010892,0.0010892
48,1200.58,1.44757,0.8445,1.39987,0.87129,0.90488,0.92672,0.521,1.56121,0.72114,1.48925,0.0010694,0.0010694,0.0010694
49,1224.56,1.43216,0.84169,1.39745,0.89881,0.88946,0.92938,0.54211,1.49118,0.69671,1.43743,0.0010496,0.0010496,0.0010496
50,1248.61,1.44502,0.81954,1.40644,0.867,0.88815,0.92095,0.51902,1.53669,0.72782,1.47798,0.0010298,0.0010298,0.0010298
51,1272.77,1.43094,0.82435,1.39467,0.87199,0.89717,0.92844,0.53616,1.51041,0.69801,1.44879,0.00101,0.00101,0.00101
52,1296.81,1.43037,0.82898,1.39624,0.91259,0.87918,0.93917,0.53405,1.52091,0.69086,1.43656,0.0009902,0.0009902,0.0009902
53,1320.88,1.4266,0.80835,1.39571,0.93421,0.86632,0.94153,0.54304,1.52093,0.67998,1.45755,0.0009704,0.0009704,0.0009704
54,1344.91,1.41869,0.80929,1.39319,0.88518,0.87404,0.9265,0.53396,1.53643,0.69887,1.48988,0.0009506,0.0009506,0.0009506
55,1368.95,1.40969,0.80814,1.38963,0.91732,0.85604,0.93274,0.5398,1.52011,0.68316,1.47101,0.0009308,0.0009308,0.0009308
56,1393.04,1.41091,0.80432,1.3938,0.90301,0.86162,0.93243,0.52937,1.531,0.68694,1.47579,0.000911,0.000911,0.000911
57,1417.11,1.40252,0.80571,1.39913,0.86321,0.91003,0.92886,0.53887,1.52627,0.68718,1.47847,0.0008912,0.0008912,0.0008912
58,1441.24,1.39908,0.79655,1.38615,0.88639,0.88252,0.93068,0.52335,1.55283,0.70648,1.49111,0.0008714,0.0008714,0.0008714
59,1465.07,1.39431,0.79723,1.37669,0.87543,0.90332,0.9256,0.53359,1.55072,0.67676,1.4767,0.0008516,0.0008516,0.0008516
60,1489.01,1.39292,0.78276,1.38499,0.89431,0.86375,0.93134,0.54005,1.49171,0.69387,1.433,0.0008318,0.0008318,0.0008318
61,1512.97,1.37725,0.77584,1.36408,0.91104,0.87404,0.92918,0.52701,1.52252,0.70338,1.46045,0.000812,0.000812,0.000812
62,1537.02,1.39494,0.78715,1.37075,0.8428,0.92341,0.92049,0.52495,1.54173,0.68202,1.46727,0.0007922,0.0007922,0.0007922
63,1561.81,1.39677,0.78615,1.37106,0.89223,0.88946,0.92949,0.53213,1.52461,0.69397,1.45891,0.0007724,0.0007724,0.0007724
